합체,형태소,품사,분류,카운트,상대빈도,시각화용,,
angelica_Alpha,angelica,Alpha,교촌 After,1,0.00%,angelica ,,
angelina_Alpha,angelina,Alpha,교촌 After,2,0.01%,angelina angelina ,,
anggara_Alpha,anggara,Alpha,교촌 After,1,0.00%,anggara ,,
anggun_Alpha,anggun,Alpha,교촌 After,2,0.01%,anggun anggun ,,
anh_Alpha,anh,Alpha,교촌 After,6,0.02%,anh anh anh anh anh anh ,,
ani_Alpha,ani,Alpha,교촌 After,3,0.01%,ani ani ani ,,
anisa_Alpha,anisa,Alpha,교촌 After,1,0.00%,anisa ,,
anjg_Alpha,anjg,Alpha,교촌 After,2,0.01%,anjg anjg ,,
anjir_Alpha,anjir,Alpha,교촌 After,2,0.01%,anjir anjir ,,
ann_Alpha,ann,Alpha,교촌 After,1,0.00%,ann ,,
anos_Alpha,anos,Alpha,교촌 After,2,0.01%,anos anos ,,
another_Alpha,another,Alpha,교촌 After,2,0.01%,another another ,,
anreamuu_Alpha,anreamuu,Alpha,교촌 After,2,0.01%,anreamuu anreamuu ,,
ans_Alpha,ans,Alpha,교촌 After,2,0.01%,ans ans ,,
ansl_Alpha,ansl,Alpha,교촌 After,2,0.01%,ansl ansl ,,
antes_Alpha,antes,Alpha,교촌 After,2,0.01%,antes antes ,,
antojo_Alpha,antojo,Alpha,교촌 After,2,0.01%,antojo antojo ,,
any_Alpha,any,Alpha,교촌 After,2,0.01%,any any ,,
anyone_Alpha,anyone,Alpha,교촌 After,4,0.01%,anyone anyone anyone anyone ,,
anything_Alpha,anything,Alpha,교촌 After,4,0.01%,anything anything anything anything ,,
aoi_Alpha,aoi,Alpha,교촌 After,1,0.00%,aoi ,,
ap_Alpha,ap,Alpha,교촌 After,2,0.01%,ap ap ,,
apa_Alpha,apa,Alpha,교촌 After,4,0.01%,apa apa apa apa ,,
apah_Alpha,apah,Alpha,교촌 After,2,0.01%,apah apah ,,
apaixonada_Alpha,apaixonada,Alpha,교촌 After,4,0.01%,apaixonada apaixonada apaixonada apaixonada ,,
apetite_Alpha,apetite,Alpha,교촌 After,4,0.01%,apetite apetite apetite apetite ,,
apetito_Alpha,apetito,Alpha,교촌 After,2,0.01%,apetito apetito ,,
apl_Alpha,apl,Alpha,교촌 After,1,0.00%,apl ,,
april_Alpha,april,Alpha,교촌 After,1,0.00%,april ,,
aq_Alpha,aq,Alpha,교촌 After,2,0.01%,aq aq ,,
aqiemzz_Alpha,aqiemzz,Alpha,교촌 After,1,0.00%,aqiemzz ,,
aqu_Alpha,aqu,Alpha,교촌 After,4,0.01%,aqu aqu aqu aqu ,,
aqua_Alpha,aqua,Alpha,교촌 After,1,0.00%,aqua ,,
aquela_Alpha,aquela,Alpha,교촌 After,2,0.01%,aquela aquela ,,
aquele_Alpha,aquele,Alpha,교촌 After,2,0.01%,aquele aquele ,,
aqui_Alpha,aqui,Alpha,교촌 After,12,0.04%,aqui aqui aqui aqui aqui aqui aqui aqui aqui aqui aqui aqui ,,
ar_Alpha,ar,Alpha,교촌 After,2,0.01%,ar ar ,,
aras_Alpha,aras,Alpha,교촌 After,2,0.01%,aras aras ,,
are_Alpha,are,Alpha,교촌 After,82,0.29%,are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are are ,,
arruma_Alpha,arruma,Alpha,교촌 After,2,0.01%,arruma arruma ,,
arteries_Alpha,arteries,Alpha,교촌 After,4,0.01%,arteries arteries arteries arteries ,,
as_Alpha,as,Alpha,교촌 After,18,0.06%,as as as as as as as as as as as as as as as as as as ,,
asco_Alpha,asco,Alpha,교촌 After,2,0.01%,asco asco ,,
ashraf_Alpha,ashraf,Alpha,교촌 After,1,0.00%,ashraf ,,
asi_Alpha,asi,Alpha,교촌 After,6,0.02%,asi asi asi asi asi asi ,,
asian_Alpha,asian,Alpha,교촌 After,2,0.01%,asian asian ,,
asiaticos_Alpha,asiaticos,Alpha,교촌 After,2,0.01%,asiaticos asiaticos ,,
ask_Alpha,ask,Alpha,교촌 After,2,0.01%,ask ask ,,
asked_Alpha,asked,Alpha,교촌 After,2,0.01%,asked asked ,,
asking_Alpha,asking,Alpha,교촌 After,2,0.01%,asking asking ,,
asmr_Alpha,asmr,Alpha,교촌 After,17,0.06%,asmr asmr asmr asmr asmr asmr asmr asmr asmr asmr asmr asmr asmr asmr asmr asmr asmr ,,
assali_Alpha,assali,Alpha,교촌 After,2,0.01%,assali assali ,,
assim_Alpha,assim,Alpha,교촌 After,8,0.03%,assim assim assim assim assim assim assim assim ,,
assistir_Alpha,assistir,Alpha,교촌 After,10,0.04%,assistir assistir assistir assistir assistir assistir assistir assistir assistir assistir ,,
at_Alpha,at,Alpha,교촌 After,50,0.18%,at at at at at at at at at at at at at at at at at at at at at at at at at at at at at at at at at at at at at at at at at at at at at at at at at at ,,
ataque_Alpha,ataque,Alpha,교촌 After,2,0.01%,ataque ataque ,,
ate_Alpha,ate,Alpha,교촌 After,2,0.01%,ate ate ,,
aten_Alpha,aten,Alpha,교촌 After,4,0.01%,aten aten aten aten ,,
atnighta_Alpha,atnighta,Alpha,교촌 After,2,0.01%,atnighta atnighta ,,
ator_Alpha,ator,Alpha,교촌 After,2,0.01%,ator ator ,,
atussholihah_Alpha,atussholihah,Alpha,교촌 After,1,0.00%,atussholihah ,,
auditory_Alpha,auditory,Alpha,교촌 After,2,0.01%,auditory auditory ,,
auri_Alpha,auri,Alpha,교촌 After,1,0.00%,auri ,,
avoir_Alpha,avoir,Alpha,교촌 After,2,0.01%,avoir avoir ,,
aware_Alpha,aware,Alpha,교촌 After,2,0.01%,aware aware ,,
awkward_Alpha,awkward,Alpha,교촌 After,2,0.01%,awkward awkward ,,
axala_Alpha,axala,Alpha,교촌 After,2,0.01%,axala axala ,,
ayaka_Alpha,ayaka,Alpha,교촌 After,1,0.00%,ayaka ,,
ayam_Alpha,ayam,Alpha,교촌 After,8,0.03%,ayam ayam ayam ayam ayam ayam ayam ayam ,,
ayamnya_Alpha,ayamnya,Alpha,교촌 After,2,0.01%,ayamnya ayamnya ,,
ayta_Alpha,ayta,Alpha,교촌 After,1,0.00%,ayta ,,
azilah_Alpha,azilah,Alpha,교촌 After,1,0.00%,azilah ,,
azucar_Alpha,azucar,Alpha,교촌 After,2,0.01%,azucar azucar ,,
b_Alpha,b,Alpha,교촌 After,2,0.01%,b b ,,
baby_Alpha,baby,Alpha,교촌 After,5,0.02%,baby baby baby baby baby ,,
bacana_Alpha,bacana,Alpha,교촌 After,1,0.00%,bacana ,,
bacchette_Alpha,bacchette,Alpha,교촌 After,2,0.01%,bacchette bacchette ,,
back_Alpha,back,Alpha,교촌 After,6,0.02%,back back back back back back ,,
bad_Alpha,bad,Alpha,교촌 After,5,0.02%,bad bad bad bad bad ,,
bag_Alpha,bag,Alpha,교촌 After,2,0.01%,bag bag ,,
bagi_Alpha,bagi,Alpha,교촌 After,2,0.01%,bagi bagi ,,
balanced_Alpha,balanced,Alpha,교촌 After,2,0.01%,balanced balanced ,,
bang_Alpha,bang,Alpha,교촌 After,2,0.01%,bang bang ,,
bangat_Alpha,bangat,Alpha,교촌 After,2,0.01%,bangat bangat ,,
banget_Alpha,banget,Alpha,교촌 After,12,0.04%,banget banget banget banget banget banget banget banget banget banget banget banget ,,
bangett_Alpha,bangett,Alpha,교촌 After,2,0.01%,bangett bangett ,,
banquet_Alpha,banquet,Alpha,교촌 After,2,0.01%,banquet banquet ,,
banyak_Alpha,banyak,Alpha,교촌 After,4,0.01%,banyak banyak banyak banyak ,,
bao_Alpha,bao,Alpha,교촌 After,2,0.01%,bao bao ,,
barriga_Alpha,barriga,Alpha,교촌 After,8,0.03%,barriga barriga barriga barriga barriga barriga barriga barriga ,,
bartolo_Alpha,bartolo,Alpha,교촌 After,1,0.00%,bartolo ,,
barulhinho_Alpha,barulhinho,Alpha,교촌 After,2,0.01%,barulhinho barulhinho ,,
barulho_Alpha,barulho,Alpha,교촌 After,2,0.01%,barulho barulho ,,
bateau_Alpha,bateau,Alpha,교촌 After,2,0.01%,bateau bateau ,,
bateu_Alpha,bateu,Alpha,교촌 After,2,0.01%,bateu bateu ,,
batter_Alpha,batter,Alpha,교촌 After,2,0.01%,batter batter ,,
bayan_Alpha,bayan,Alpha,교촌 After,1,0.00%,bayan ,,
bc_Alpha,bc,Alpha,교촌 After,2,0.01%,bc bc ,,
be_Alpha,be,Alpha,교촌 After,26,0.09%,be be be be be be be be be be be be be be be be be be be be be be be be be be ,,
beautiful_Alpha,beautiful,Alpha,교촌 After,4,0.01%,beautiful beautiful beautiful beautiful ,,
became_Alpha,became,Alpha,교촌 After,2,0.01%,became became ,,
because_Alpha,because,Alpha,교촌 After,22,0.08%,because because because because because because because because because because because because because because because because because because because because because because ,,
bed_Alpha,bed,Alpha,교촌 After,12,0.04%,bed bed bed bed bed bed bed bed bed bed bed bed ,,
been_Alpha,been,Alpha,교촌 After,8,0.03%,been been been been been been been been ,,
began_Alpha,began,Alpha,교촌 After,2,0.01%,began began ,,
beginning_Alpha,beginning,Alpha,교촌 After,2,0.01%,beginning beginning ,,
being_Alpha,being,Alpha,교촌 After,2,0.01%,being being ,,
bekk_Alpha,bekk,Alpha,교촌 After,1,0.00%,bekk ,,
bel_Alpha,bel,Alpha,교촌 After,1,0.00%,bel ,,
belen_Alpha,belen,Alpha,교촌 After,1,0.00%,belen ,,
beli_Alpha,beli,Alpha,교촌 After,2,0.01%,beli beli ,,
believe_Alpha,believe,Alpha,교촌 After,2,0.01%,believe believe ,,
bem_Alpha,bem,Alpha,교촌 After,4,0.01%,bem bem bem bem ,,
bemma_Alpha,bemma,Alpha,교촌 After,1,0.00%,bemma ,,
bemmmm_Alpha,bemmmm,Alpha,교촌 After,2,0.01%,bemmmm bemmmm ,,
ben_Alpha,ben,Alpha,교촌 After,3,0.01%,ben ben ben ,,
beni_Alpha,beni,Alpha,교촌 After,1,0.00%,beni ,,
benim_Alpha,benim,Alpha,교촌 After,2,0.01%,benim benim ,,
bes_Alpha,bes,Alpha,교촌 After,2,0.01%,bes bes ,,
besar_Alpha,besar,Alpha,교촌 After,2,0.01%,besar besar ,,
best_Alpha,best,Alpha,교촌 After,8,0.03%,best best best best best best best best ,,
beyondthismortalcanvas_Alpha,beyondthismortalcanvas,Alpha,교촌 After,1,0.00%,beyondthismortalcanvas ,,
bhavna_Alpha,bhavna,Alpha,교촌 After,1,0.00%,bhavna ,,
bibili_Alpha,bibili,Alpha,교촌 After,2,0.01%,bibili bibili ,,
bien_Alpha,bien,Alpha,교촌 After,4,0.01%,bien bien bien bien ,,
big_Alpha,big,Alpha,교촌 After,4,0.01%,big big big big ,,
bigbites_Alpha,bigbites,Alpha,교촌 After,2,0.01%,bigbites bigbites ,,
biggest_Alpha,biggest,Alpha,교촌 After,2,0.01%,biggest biggest ,,
biji_Alpha,biji,Alpha,교촌 After,2,0.01%,biji biji ,,
birth_Alpha,birth,Alpha,교촌 After,2,0.01%,birth birth ,,
birthday_Alpha,birthday,Alpha,교촌 After,6,0.02%,birthday birthday birthday birthday birthday birthday ,,
bisa_Alpha,bisa,Alpha,교촌 After,2,0.01%,bisa bisa ,,
biscoito_Alpha,biscoito,Alpha,교촌 After,4,0.01%,biscoito biscoito biscoito biscoito ,,
bit_Alpha,bit,Alpha,교촌 After,2,0.01%,bit bit ,,
bite_Alpha,bite,Alpha,교촌 After,4,0.01%,bite bite bite bite ,,
bites_Alpha,bites,Alpha,교촌 After,6,0.02%,bites bites bites bites bites bites ,,
biww_Alpha,biww,Alpha,교촌 After,1,0.00%,biww ,,
bizarres_Alpha,bizarres,Alpha,교촌 After,2,0.01%,bizarres bizarres ,,
blak_Alpha,blak,Alpha,교촌 After,1,0.00%,blak ,,
blancos_Alpha,blancos,Alpha,교촌 After,2,0.01%,blancos blancos ,,
ble_Alpha,ble,Alpha,교촌 After,2,0.01%,ble ble ,,
bless_Alpha,bless,Alpha,교촌 After,2,0.01%,bless bless ,,
blood_Alpha,blood,Alpha,교촌 After,1,0.00%,blood ,,
blu_Alpha,blu,Alpha,교촌 After,1,0.00%,blu ,,
blue_Alpha,blue,Alpha,교촌 After,1,0.00%,blue ,,
boa_Alpha,boa,Alpha,교촌 After,4,0.01%,boa boa boa boa ,,
bobada_Alpha,bobada,Alpha,교촌 After,2,0.01%,bobada bobada ,,
bobi_Alpha,bobi,Alpha,교촌 After,2,0.01%,bobi bobi ,,
boc_Alpha,boc,Alpha,교촌 After,2,0.01%,boc boc ,,
boca_Alpha,boca,Alpha,교촌 After,24,0.08%,boca boca boca boca boca boca boca boca boca boca boca boca boca boca boca boca boca boca boca boca boca boca boca boca ,,
body_Alpha,body,Alpha,교촌 After,4,0.01%,body body body body ,,
boi_Alpha,boi,Alpha,교촌 After,4,0.01%,boi boi boi boi ,,
boibnida_Alpha,boibnida,Alpha,교촌 After,2,0.01%,boibnida boibnida ,,
boki_Alpha,boki,Alpha,교촌 After,2,0.01%,boki boki ,,
bolacha_Alpha,bolacha,Alpha,교촌 After,2,0.01%,bolacha bolacha ,,
boleh_Alpha,boleh,Alpha,교촌 After,2,0.01%,boleh boleh ,,
boll_Alpha,boll,Alpha,교촌 After,2,0.01%,boll boll ,,
bom_Alpha,bom,Alpha,교촌 After,6,0.02%,bom bom bom bom bom bom ,,
bomb_Alpha,bomb,Alpha,교촌 After,2,0.01%,bomb bomb ,,
bon_Alpha,bon,Alpha,교촌 After,2,0.01%,bon bon ,,
bone_Alpha,bone,Alpha,교촌 After,6,0.02%,bone bone bone bone bone bone ,,
bonito_Alpha,bonito,Alpha,교촌 After,2,0.01%,bonito bonito ,,
bookoffholic_Alpha,bookoffholic,Alpha,교촌 After,1,0.00%,bookoffholic ,,
bookwart_Alpha,bookwart,Alpha,교촌 After,1,0.00%,bookwart ,,
born_Alpha,born,Alpha,교촌 After,4,0.01%,born born born born ,,
bowl_Alpha,bowl,Alpha,교촌 After,8,0.03%,bowl bowl bowl bowl bowl bowl bowl bowl ,,
boy_Alpha,boy,Alpha,교촌 After,6,0.02%,boy boy boy boy boy boy ,,
br_Alpha,br,Alpha,교촌 After,2,0.01%,br br ,,
brasileira_Alpha,brasileira,Alpha,교촌 After,6,0.02%,brasileira brasileira brasileira brasileira brasileira brasileira ,,
brasileiros_Alpha,brasileiros,Alpha,교촌 After,2,0.01%,brasileiros brasileiros ,,
brazil_Alpha,brazil,Alpha,교촌 After,6,0.02%,brazil brazil brazil brazil brazil brazil ,,
brazilian_Alpha,brazilian,Alpha,교촌 After,2,0.01%,brazilian brazilian ,,
bridge_Alpha,bridge,Alpha,교촌 After,2,0.01%,bridge bridge ,,
brigadooo_Alpha,brigadooo,Alpha,교촌 After,2,0.01%,brigadooo brigadooo ,,
bring_Alpha,bring,Alpha,교촌 After,4,0.01%,bring bring bring bring ,,
bro_Alpha,bro,Alpha,교촌 After,6,0.02%,bro bro bro bro bro bro ,,
broke_Alpha,broke,Alpha,교촌 After,4,0.01%,broke broke broke broke ,,
broken_Alpha,broken,Alpha,교촌 After,1,0.00%,broken ,,
brother_Alpha,brother,Alpha,교촌 After,6,0.02%,brother brother brother brother brother brother ,,
browns_Alpha,browns,Alpha,교촌 After,1,0.00%,browns ,,
bruh_Alpha,bruh,Alpha,교촌 After,2,0.01%,bruh bruh ,,
bts_Alpha,bts,Alpha,교촌 After,2,0.01%,bts bts ,,
bu_Alpha,bu,Alpha,교촌 After,8,0.03%,bu bu bu bu bu bu bu bu ,,
buen_Alpha,buen,Alpha,교촌 After,2,0.01%,buen buen ,,
buena_Alpha,buena,Alpha,교촌 After,2,0.01%,buena buena ,,
bueno_Alpha,bueno,Alpha,교촌 After,4,0.01%,bueno bueno bueno bueno ,,
building_Alpha,building,Alpha,교촌 After,1,0.00%,building ,,
bukan_Alpha,bukan,Alpha,교촌 After,2,0.01%,bukan bukan ,,
bulabilirim_Alpha,bulabilirim,Alpha,교촌 After,2,0.01%,bulabilirim bulabilirim ,,
bunny_Alpha,bunny,Alpha,교촌 After,1,0.00%,bunny ,,
buraya_Alpha,buraya,Alpha,교촌 After,2,0.01%,buraya buraya ,,
buscando_Alpha,buscando,Alpha,교촌 After,2,0.01%,buscando buscando ,,
but_Alpha,but,Alpha,교촌 After,53,0.19%,but but but but but but but but but but but but but but but but but but but but but but but but but but but but but but but but but but but but but but but but but but but but but but but but but but but but but ,,
buy_Alpha,buy,Alpha,교촌 After,8,0.03%,buy buy buy buy buy buy buy buy ,,
buying_Alpha,buying,Alpha,교촌 After,2,0.01%,buying buying ,,
by_Alpha,by,Alpha,교촌 After,23,0.08%,by by by by by by by by by by by by by by by by by by by by by by by ,,
bye_Alpha,bye,Alpha,교촌 After,4,0.01%,bye bye bye bye ,,
c_Alpha,c,Alpha,교촌 After,20,0.07%,c c c c c c c c c c c c c c c c c c c c ,,
cabe_Alpha,cabe,Alpha,교촌 After,6,0.02%,cabe cabe cabe cabe cabe cabe ,,
cada_Alpha,cada,Alpha,교촌 After,2,0.01%,cada cada ,,
cagar_Alpha,cagar,Alpha,교촌 After,2,0.01%,cagar cagar ,,
cah_Alpha,cah,Alpha,교촌 After,2,0.01%,cah cah ,,
cake_Alpha,cake,Alpha,교촌 After,4,0.01%,cake cake cake cake ,,
cakep_Alpha,cakep,Alpha,교촌 After,2,0.01%,cakep cakep ,,
cakes_Alpha,cakes,Alpha,교촌 After,2,0.01%,cakes cakes ,,
cali_Alpha,cali,Alpha,교촌 After,2,0.01%,cali cali ,,
calibre_Alpha,calibre,Alpha,교촌 After,2,0.01%,calibre calibre ,,
caliente_Alpha,caliente,Alpha,교촌 After,2,0.01%,caliente caliente ,,
called_Alpha,called,Alpha,교촌 After,2,0.01%,called called ,,
calorias_Alpha,calorias,Alpha,교촌 After,2,0.01%,calorias calorias ,,
calories_Alpha,calories,Alpha,교촌 After,4,0.01%,calories calories calories calories ,,
came_Alpha,came,Alpha,교촌 After,2,0.01%,came came ,,
camera_Alpha,camera,Alpha,교촌 After,8,0.03%,camera camera camera camera camera camera camera camera ,,
camila_Alpha,camila,Alpha,교촌 After,1,0.00%,camila ,,
campos_Alpha,campos,Alpha,교촌 After,1,0.00%,campos ,,
can_Alpha,can,Alpha,교촌 After,49,0.17%,can can can can can can can can can can can can can can can can can can can can can can can can can can can can can can can can can can can can can can can can can can can can can can can can can ,,
canal_Alpha,canal,Alpha,교촌 After,8,0.03%,canal canal canal canal canal canal canal canal ,,
canchari_Alpha,canchari,Alpha,교촌 After,1,0.00%,canchari ,,
cannot_Alpha,cannot,Alpha,교촌 After,2,0.01%,cannot cannot ,,
cant_Alpha,cant,Alpha,교촌 After,8,0.03%,cant cant cant cant cant cant cant cant ,,
capek_Alpha,capek,Alpha,교촌 After,2,0.01%,capek capek ,,
car_Alpha,car,Alpha,교촌 After,2,0.01%,car car ,,
cara_Alpha,cara,Alpha,교촌 After,14,0.05%,cara cara cara cara cara cara cara cara cara cara cara cara cara cara ,,
carmen_Alpha,carmen,Alpha,교촌 After,1,0.00%,carmen ,,
carne_Alpha,carne,Alpha,교촌 After,2,0.01%,carne carne ,,
caro_Alpha,caro,Alpha,교촌 After,2,0.01%,caro caro ,,
casa_Alpha,casa,Alpha,교촌 After,2,0.01%,casa casa ,,
cassia_Alpha,cassia,Alpha,교촌 After,1,0.00%,cassia ,,
catastr_Alpha,catastr,Alpha,교촌 After,2,0.01%,catastr catastr ,,
cause_Alpha,cause,Alpha,교촌 After,4,0.01%,cause cause cause cause ,,
causin_Alpha,causin,Alpha,교촌 After,2,0.01%,causin causin ,,
cay_Alpha,cay,Alpha,교촌 After,2,0.01%,cay cay ,,
cennelh_Alpha,cennelh,Alpha,교촌 After,1,0.00%,cennelh ,,
cerqueira_Alpha,cerqueira,Alpha,교촌 After,1,0.00%,cerqueira ,,
certo_Alpha,certo,Alpha,교촌 After,2,0.01%,certo certo ,,
ch_Alpha,ch,Alpha,교촌 After,5,0.02%,ch ch ch ch ch ,,
chamo_Alpha,chamo,Alpha,교촌 After,2,0.01%,chamo chamo ,,
chan_Alpha,chan,Alpha,교촌 After,1,0.00%,chan ,,
chance_Alpha,chance,Alpha,교촌 After,2,0.01%,chance chance ,,
changsan_Alpha,changsan,Alpha,교촌 After,1,0.00%,changsan ,,
channel_Alpha,channel,Alpha,교촌 After,2,0.01%,channel channel ,,
chees_Alpha,chees,Alpha,교촌 After,2,0.01%,chees chees ,,
cheese_Alpha,cheese,Alpha,교촌 After,59,0.21%,cheese cheese cheese cheese cheese cheese cheese cheese cheese cheese cheese cheese cheese cheese cheese cheese cheese cheese cheese cheese cheese cheese cheese cheese cheese cheese cheese cheese cheese cheese cheese cheese cheese cheese cheese cheese cheese cheese cheese cheese cheese cheese cheese cheese cheese cheese cheese cheese cheese cheese cheese cheese cheese cheese cheese cheese cheese cheese cheese ,,
cheeseee_Alpha,cheeseee,Alpha,교촌 After,2,0.01%,cheeseee cheeseee ,,
cheeses_Alpha,cheeses,Alpha,교촌 After,2,0.01%,cheeses cheeses ,,
cheesy_Alpha,cheesy,Alpha,교촌 After,8,0.03%,cheesy cheesy cheesy cheesy cheesy cheesy cheesy cheesy ,,
chess_Alpha,chess,Alpha,교촌 After,2,0.01%,chess chess ,,
chesse_Alpha,chesse,Alpha,교촌 After,2,0.01%,chesse chesse ,,
chessy_Alpha,chessy,Alpha,교촌 After,2,0.01%,chessy chessy ,,
chicken_Alpha,chicken,Alpha,교촌 After,68,0.24%,chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken chicken ,,
chiken_Alpha,chiken,Alpha,교촌 After,4,0.01%,chiken chiken chiken chiken ,,
child_Alpha,child,Alpha,교촌 After,2,0.01%,child child ,,
chim_Alpha,chim,Alpha,교촌 After,1,0.00%,chim ,,
china_Alpha,china,Alpha,교촌 After,2,0.01%,china china ,,
chinito_Alpha,chinito,Alpha,교촌 After,2,0.01%,chinito chinito ,,
chinos_Alpha,chinos,Alpha,교촌 After,2,0.01%,chinos chinos ,,
chiqsin_Alpha,chiqsin,Alpha,교촌 After,2,0.01%,chiqsin chiqsin ,,
chloe_Alpha,chloe,Alpha,교촌 After,1,0.00%,chloe ,,
cho_Alpha,cho,Alpha,교촌 After,2,0.01%,cho cho ,,
choi_Alpha,choi,Alpha,교촌 After,8,0.03%,choi choi choi choi choi choi choi choi ,,
chowdary_Alpha,chowdary,Alpha,교촌 After,1,0.00%,chowdary ,,
chps_Alpha,chps,Alpha,교촌 After,2,0.01%,chps chps ,,
christ_Alpha,christ,Alpha,교촌 After,2,0.01%,christ christ ,,
cia_Alpha,cia,Alpha,교촌 After,8,0.03%,cia cia cia cia cia cia cia cia ,,
cias_Alpha,cias,Alpha,교촌 After,2,0.01%,cias cias ,,
class_Alpha,class,Alpha,교촌 After,2,0.01%,class class ,,
classes_Alpha,classes,Alpha,교촌 After,2,0.01%,classes classes ,,
clean_Alpha,clean,Alpha,교촌 After,4,0.01%,clean clean clean clean ,,
clear_Alpha,clear,Alpha,교촌 After,2,0.01%,clear clear ,,
clip_Alpha,clip,Alpha,교촌 After,2,0.01%,clip clip ,,
clock_Alpha,clock,Alpha,교촌 After,2,0.01%,clock clock ,,
close_Alpha,close,Alpha,교촌 After,2,0.01%,close close ,,
clouge_Alpha,clouge,Alpha,교촌 After,2,0.01%,clouge clouge ,,
coca_Alpha,coca,Alpha,교촌 After,10,0.04%,coca coca coca coca coca coca coca coca coca coca ,,
cocota_Alpha,cocota,Alpha,교촌 After,2,0.01%,cocota cocota ,,
coisa_Alpha,coisa,Alpha,교촌 After,2,0.01%,coisa coisa ,,
coisas_Alpha,coisas,Alpha,교촌 After,2,0.01%,coisas coisas ,,
cok_Alpha,cok,Alpha,교촌 After,2,0.01%,cok cok ,,
coke_Alpha,coke,Alpha,교촌 After,2,0.01%,coke coke ,,
cola_Alpha,cola,Alpha,교촌 After,6,0.02%,cola cola cola cola cola cola ,,
colesterol_Alpha,colesterol,Alpha,교촌 After,2,0.01%,colesterol colesterol ,,
colher_Alpha,colher,Alpha,교촌 After,4,0.01%,colher colher colher colher ,,
collab_Alpha,collab,Alpha,교촌 After,2,0.01%,collab collab ,,
college_Alpha,college,Alpha,교촌 After,2,0.01%,college college ,,
colocar_Alpha,colocar,Alpha,교촌 After,2,0.01%,colocar colocar ,,
com_Alpha,com,Alpha,교촌 After,26,0.09%,com com com com com com com com com com com com com com com com com com com com com com com com com com ,,
coma_Alpha,coma,Alpha,교촌 After,4,0.01%,coma coma coma coma ,,
combo_Alpha,combo,Alpha,교촌 After,6,0.02%,combo combo combo combo combo combo ,,
come_Alpha,come,Alpha,교촌 After,34,0.12%,come come come come come come come come come come come come come come come come come come come come come come come come come come come come come come come come come come ,,
comem_Alpha,comem,Alpha,교촌 After,2,0.01%,comem comem ,,
comen_Alpha,comen,Alpha,교촌 After,2,0.01%,comen comen ,,
comendo_Alpha,comendo,Alpha,교촌 After,12,0.04%,comendo comendo comendo comendo comendo comendo comendo comendo comendo comendo comendo comendo ,,
comentario_Alpha,comentario,Alpha,교촌 After,2,0.01%,comentario comentario ,,
comer_Alpha,comer,Alpha,교촌 After,58,0.21%,comer comer comer comer comer comer comer comer comer comer comer comer comer comer comer comer comer comer comer comer comer comer comer comer comer comer comer comer comer comer comer comer comer comer comer comer comer comer comer comer comer comer comer comer comer comer comer comer comer comer comer comer comer comer comer comer comer comer ,,
comermelo_Alpha,comermelo,Alpha,교촌 After,2,0.01%,comermelo comermelo ,,
comes_Alpha,comes,Alpha,교촌 After,2,0.01%,comes comes ,,
comi_Alpha,comi,Alpha,교촌 After,2,0.01%,comi comi ,,
comida_Alpha,comida,Alpha,교촌 After,34,0.12%,comida comida comida comida comida comida comida comida comida comida comida comida comida comida comida comida comida comida comida comida comida comida comida comida comida comida comida comida comida comida comida comida comida comida ,,
comidas_Alpha,comidas,Alpha,교촌 After,2,0.01%,comidas comidas ,,
comido_Alpha,comido,Alpha,교촌 After,4,0.01%,comido comido comido comido ,,
comiendo_Alpha,comiendo,Alpha,교촌 After,8,0.03%,comiendo comiendo comiendo comiendo comiendo comiendo comiendo comiendo ,,
coming_Alpha,coming,Alpha,교촌 After,2,0.01%,coming coming ,,
comment_Alpha,comment,Alpha,교촌 After,9,0.03%,comment comment comment comment comment comment comment comment comment ,,
commenting_Alpha,commenting,Alpha,교촌 After,4,0.01%,commenting commenting commenting commenting ,,
comments_Alpha,comments,Alpha,교촌 After,4,0.01%,comments comments comments comments ,,
commercial_Alpha,commercial,Alpha,교촌 After,2,0.01%,commercial commercial ,,
como_Alpha,como,Alpha,교촌 After,22,0.08%,como como como como como como como como como como como como como como como como como como como como como como ,,
compa_Alpha,compa,Alpha,교촌 After,2,0.01%,compa compa ,,
con_Alpha,con,Alpha,교촌 After,13,0.05%,con con con con con con con con con con con con con ,,
condi_Alpha,condi,Alpha,교촌 After,2,0.01%,condi condi ,,
confused_Alpha,confused,Alpha,교촌 After,2,0.01%,confused confused ,,
cono_Alpha,cono,Alpha,교촌 After,1,0.00%,cono ,,
consegue_Alpha,consegue,Alpha,교촌 After,2,0.01%,consegue consegue ,,
conseguir_Alpha,conseguir,Alpha,교촌 After,2,0.01%,conseguir conseguir ,,
consigo_Alpha,consigo,Alpha,교촌 After,4,0.01%,consigo consigo consigo consigo ,,
conta_Alpha,conta,Alpha,교촌 After,2,0.01%,conta conta ,,
